﻿;;"1DZG0040468260 / Energie bezogen (quarter-hourly)";"";"";
"Time from - (in local time)";"TimeTime - bis (in local time)";"Value";"Unit";"Status";
"08/07/2026 - 16:30:00";"08/07/2026 - 16:45:00";"0.042800";"kWh";"W";
"08/07/2026 - 16:45:00";"08/07/2026 - 17:00:00";"0.027700";"kWh";"W";
"08/07/2026 - 17:00:00";"08/07/2026 - 17:15:00";"0.025100";"kWh";"W";
"08/07/2026 - 17:15:00";"08/07/2026 - 17:30:00";"0.025500";"kWh";"W";
"08/07/2026 - 17:30:00";"08/07/2026 - 17:45:00";"0.105400";"kWh";"W";
"08/07/2026 - 17:45:00";"08/07/2026 - 18:00:00";"0.035500";"kWh";"W";
"08/07/2026 - 18:00:00";"08/07/2026 - 18:15:00";"0.023700";"kWh";"W";
"08/07/2026 - 18:15:00";"08/07/2026 - 18:30:00";"0.011600";"kWh";"W";
"08/07/2026 - 18:30:00";"08/07/2026 - 18:45:00";"0.050800";"kWh";"W";
"08/07/2026 - 18:45:00";"08/07/2026 - 19:00:00";"0.118800";"kWh";"W";
"08/07/2026 - 19:00:00";"08/07/2026 - 19:15:00";"0.050200";"kWh";"W";
"08/07/2026 - 19:15:00";"08/07/2026 - 19:30:00";"0.057200";"kWh";"W";
"08/07/2026 - 19:30:00";"08/07/2026 - 19:45:00";"0.032100";"kWh";"W";
"08/07/2026 - 19:45:00";"08/07/2026 - 20:00:00";"0.182800";"kWh";"W";
"08/07/2026 - 20:00:00";"08/07/2026 - 20:15:00";"0.174200";"kWh";"W";
"08/07/2026 - 20:15:00";"08/07/2026 - 20:30:00";"0.323000";"kWh";"W";
"08/07/2026 - 20:30:00";"08/07/2026 - 20:45:00";"0.193600";"kWh";"W";
"08/07/2026 - 20:45:00";"08/07/2026 - 21:00:00";"0.187900";"kWh";"W";
"08/07/2026 - 21:00:00";"08/07/2026 - 21:15:00";"0.042500";"kWh";"W";
"08/07/2026 - 21:15:00";"08/07/2026 - 21:30:00";"0.043800";"kWh";"W";
"08/07/2026 - 21:30:00";"08/07/2026 - 21:45:00";"0.051500";"kWh";"W";
"08/07/2026 - 21:45:00";"08/07/2026 - 22:00:00";"0.053800";"kWh";"W";
"08/07/2026 - 22:00:00";"08/07/2026 - 22:15:00";"0.035400";"kWh";"W";
"08/07/2026 - 22:15:00";"08/07/2026 - 22:30:00";"0.031500";"kWh";"W";
"08/07/2026 - 22:30:00";"08/07/2026 - 22:45:00";"0.039900";"kWh";"W";
"08/07/2026 - 22:45:00";"08/07/2026 - 23:00:00";"0.041000";"kWh";"W";
"08/07/2026 - 23:00:00";"08/07/2026 - 23:15:00";"0.042300";"kWh";"W";
"08/07/2026 - 23:15:00";"08/07/2026 - 23:30:00";"0.063400";"kWh";"W";
"08/07/2026 - 23:30:00";"08/07/2026 - 23:45:00";"0.059500";"kWh";"W";
"08/07/2026 - 23:45:00";"08/08/2026 - 00:00:00";"0.035500";"kWh";"W";
